1,AARTIPHARM,INE0LRU01027,533.15,20
2,HEALTHIETF,INF109KC1Q72,115.67,20
3,JLHL,INE682M01012,1063.9,20
4,DPSCLTD,INE360C01024,24.2,25.34
5,PONNIERODE,INE838E01017,422.35,20
6,HDFCSENSEX,INF179KC1973,790.93,6
7,DEEPAKNTR,INE288B01029,2305.9,20
8,THANGAMAYL,INE085J01014,1355.15,20
9,NAVNETEDUL,INE060A01024,153.5,20
10,TVSSCS,INE395N01027,193.25,20
11,RELINFRA,INE036A01016,231.05,21.1
12,NFL,INE870D01012,126,20.22
13,PROZONER,INE195N01013,38.55,22.44
14,JAYAGROGN,INE785A01026,256.1,20
15,MARUTI,INE585B01010,10186.9,9
16,SWANENERGY,INE665A01038,639.05,20.27
17,ALBERTDAVD,INE155C01010,1434.4,20
18,ASAHISONG,INE228I01012,325.7,20
19,KMSUGAR,INE157H01023,32.75,20
20,ASHIMASYN,INE440A01010,20.2,21.18
21,SIGIND,INE529F01035,80.8,20
22,ESG,INF769K01GS9,35.94,20
23,YUKEN,INE384C01016,699.6,20
24,RAJESHEXPO,INE343B01030,365.6,20
25,IGPL,INE204A01010,500.2,20
26,BLUESTARCO,INE472A01039,1139.5,20
27,SGBJAN29IX,IN0020200377,6240,10
28,ITI,INE248A01017,341.05,23.81
29,RUSTOMJEE,INE263M01029,711.55,20
30,BECTORFOOD,INE495P01012,1189.35,20
31,SGBMAR25,IN0020160126,6235.03,10
32,MOVALUE,INF247L01BE5,86.66,20
33,INDIAGLYCO,INE560A01015,908.15,20
34,TRIGYN,INE948A01012,155.85,20
35,VSTTILLERS,INE764D01017,3331.25,20
36,SGBSEP27,IN0020190115,6235,10
37,SGBNOV25VI,IN0020170083,6250,10
38,RECLTD,INE020B01018,499.05,20
39,AXISCETF,INF846K016C7,97.87,20
40,IDFNIFTYET,INF194KA1U07,233.44,9.49
41,SGBAUG27,IN0020190107,6299.72,10
42,VERANDA,INE0IQ001011,273.5,22.84
43,JUBLINDS,INE645L01011,608.3,20
44,PASUPTAC,INE818B01023,43.15,20
45,CENTRUM,INE660C01027,34,21.02
46,UCAL,INE139B01016,163.9,20
47,SGBMAY26,IN0020180033,6324,10
48,BLUEJET,INE0KBH01020,354.15,20
49,FLUOROCHEM,INE09N301011,3684.15,20
50,DHUNINV,INE320L01011,1492.95,21.85
51,STARPAPER,INE733A01018,282,20
52,CHEMPLASTS,INE488A01050,493.3,20
53,PAGEIND,INE761H01022,37314.1,20
54,GOKULAGRO,INE314T01025,125.75,20
55,RUSHIL,INE573K01017,359.3,20
56,EICHERMOT,INE066A01021,3839.6,10.25
57,VISHNU,INE270I01022,323.75,20
58,GUJALKALI,INE186A01019,791.9,20
59,NMDC,INE584A01023,219.85,20
60,KIRLOSENG,INE146L01010,710.9,20
61,DHANI,INE274G01010,38.4,21.1
62,PNC,INE392B01011,56.65,22.49
63,MOIL,INE490G01020,347,20
64,NIFMID150,INF789F1AYX9,178.29,10.86
65,ANANTRAJ,INE242C01024,318.1,20
66,CREATIVE,INE985W01018,830.05,20
67,TIINDIA,INE974X01010,3898.05,20
68,SENSEXIETF,INF346A01034,801.32,9.25
69,CHAMBLFERT,INE085A01013,366.85,20
70,PLASTIBLEN,INE083C01022,304.25,20
71,GILLANDERS,INE047B01011,137.6,100
72,KIRLPNU,INE811A01020,675.85,20
73,INFRAIETF,INF109KC16E5,80.25,20
74,SGBNOV25,IN0020170091,6230,10
75,RUCHIRA,INE803H01014,160.2,20
76,TRU,INE615R01029,75.45,22.61
77,JSWHL,INE824G01012,6161.8,20
78,HSCL,INE019C01026,374.35,100
79,RCF,INE027A01015,183.15,20
80,COMMOIETF,INF109KC19O8,79.77,20
81,NATHBIOGEN,INE448G01010,219.65,20
82,SANDHAR,INE278H01035,480,20
83,NCC,INE868B01028,215.45,20
84,IREDA,INE202E01016,181.8,20
85,KECL,INE134B01017,150.9,22.3
86,LORDSCHLO,INE846D01012,141.7,20
87,STOVEKRAFT,INE00IN01015,443.45,20
88,MEDICAMEQ,INE646B01010,539.95,20
89,AXISHCETF,INF846K01Z12,115.7,20
90,VENUSPIPES,INE0JA001018,1456.2,20
91,TITAN,INE280A01028,3697.55,9
92,IFGLEXPOR,INE133Y01011,824.95,20.49
93,BASF,INE373A01013,3037.7,20
94,TV18BRDCST,INE886H01027,62.85,100
95,DJML,INE0B1K01014,160.05,20
96,NIFTYIETF,INF109K012R6,238.95,6
97,NAHARCAP,INE049I01012,327.2,20
98,HDFCBANK,INE040A01034,1462.55,9
99,HINDALCO,INE038A01020,579.35,12.37
100,LIQUIDBEES,INF732E01037,1000,10
101,JPOLYINVST,INE147P01019,699.5,23.01
102,ATAM,INE09KD01013,201,20
103,SURANAT&P,INE130B01031,19,20
104,NV20IETF,INF109KB1WY5,132.05,20
105,POWERINDIA,INE07Y701011,5929.85,20
106,TATACONSUM,INE192A01025,1118,9
107,SUBEXLTD,INE754A01055,37.55,22.64
108,VHL,INE701A01023,3368.5,20
109,MEDICO,INE630Y01024,82.45,20
110,MOMOMENTUM,INF247L01BK2,58.45,20
111,SGBMAR30X,IN0020210319,6235.32,10
112,YATRA,INE0JR601024,178.7,20
113,TATVA,INE0GK401011,1339.6,20
114,TANLA,INE483C01032,1030.2,20.35
