Index,symbol,company_Name,macro,sector,industry,basic_Industry, last_Price , total_Market_Cap , free_float
268,BLUECOAST,Blue Coast Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts, 5.50 , 701.17 , 273.45 
1546,SHYAMTEL,Shyam Telecom Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors, 9.85 ," 1,110.10 ", -   
510,EUROTEXIND,Eurotex Industries and Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 12.45 ," 1,089.36 ", 294.13 
1786,UMESLTD,Usha Martin Education & Solutions Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning, 5.95 ," 1,571.74 ", 943.04 
1728,TIJARIA,Tijaria Polypipes Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial, 6.50 ," 1,860.73 "," 1,209.47 "
1557,SILLYMONKS,Silly Monks Entertainment Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment, 18.80 ," 1,919.72 ", 844.68 
1772,TVVISION,TV Vision Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production, 4.20 ," 1,627.27 "," 1,025.18 "
1833,VIJIFIN,Viji Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC), 2.30 ," 1,897.50 "," 1,005.67 "
1820,VCL,Vaxtex Cotfab Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 1.45 ," 2,664.41 "," 1,811.80 "
1881,WINSOME,Winsome Yarns Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 3.95 ," 2,792.94 "," 1,703.69 "
1555,SILGO,Silgo Retail Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches, 33.00 ," 3,389.10 "," 1,592.88 "
1878,WILLAMAGOR,Williamson Magor & Company Limited,Financial Services,Financial Services,Finance,Investment Company, 34.80 ," 3,812.81 "," 1,448.87 "
674,HEADSUP,Heads UP Ventures Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products, 15.95 ," 3,522.18 "," 2,359.86 "
664,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts, 3.05 ," 4,682.84 "," 2,481.91 "
1840,VINNY,Vinny Overseas Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 3.85 ," 4,400.12 ", -   
1850,VIVIDHA,Visagar Polytex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 1.45 ," 4,244.16 "," 3,989.51 "
1644,SUPERSPIN,Super Spinning Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 8.15 ," 4,482.50 ", -   
1512,SGL,STL Global Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 18.30 ," 4,939.34 "," 1,629.98 "
917,KHANDSE,Khandwala Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied, 28.50 ," 4,347.33 "," 2,217.14 "
540,FMNL,Future Market Networks Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services, 8.85 ," 5,092.68 "," 1,782.44 "
1471,SANGINITA,Sanginita Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 30.05 ," 5,188.94 "," 2,075.58 "
946,KRIDHANINF,Kridhan Infra Limited,Industrials,Construction,Construction,Civil Construction, 4.20 ," 3,980.73 "," 2,109.79 "
907,KEEPLEARN,DSJ Keep Learning Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education, 6.70 ," 5,868.40 ", -   
1714,TFL,Transwarranty Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC), 11.50 ," 5,612.22 "," 1,515.30 "
380,CYBERMEDIA,Cyber Media (India) Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Electronic Media, 35.50 ," 5,561.87 "," 2,113.51 "
1839,VINEETLAB,Vineet Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 72.40 ," 6,674.56 "," 4,071.48 "
1419,ROML,Raj Oil Mills Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil, 50.45 ," 7,561.79 "," 1,890.45 "
850,JISLDVREQS,Jain Irrigation Systems Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial, 36.90 ," 7,119.60 "," 4,983.72 "
