"Index","symbol","company_Name","is_in_FNO","macro","sector","industry","basic_Industry","last_Price","vwap","total_Market_Cap","free_float","sector_member","date"
"1","20MICRONS","20 Microns Limited","false","Commodities","Metals & Mining","Minerals & Mining","Industrial Minerals","155","155.88","54694.08","30081.74","NIFTY METAL","16FEB2024"
"2","21STCENMGM","21st Century Management Services Limited","false","Financial Services","Financial Services","Capital Markets","Other Capital Market related Services","0","0","5008.5","0","NIFTY FINANCIAL SERVICES","16FEB2024"
"3","360ONE","360 ONE WAM LIMITED","false","Financial Services","Financial Services","Finance","Other Financial Services","695","702.58","2491896.26","797406.8","","16FEB2024"
"4","3IINFOLTD","3i Infotech Limited","false","Information Technology","Information Technology","IT - Software","Computers - Software & Consulting","53.25","53.98","89928.47","80036.34","","16FEB2024"
"5","3MINDIA","3M India Limited","false","Diversified","Diversified","Diversified","Diversified","30855","30950.31","3475837.35","868959.34","NIFTY 500","16FEB2024"
"6","3PLAND","3P Land Holdings Limited","false","Financial Services","Financial Services","Finance","Investment Company","34.15","34.54","6147","1536.75","NIFTY 500","16FEB2024"
"7","5PAISA","5Paisa Capital Limited","false","Financial Services","Financial Services","Capital Markets","Stockbroking & Allied","568","571.55","177095.15","53128.54","NIFTY FINANCIAL SERVICES","16FEB2024"
"8","63MOONS","63 moons technologies limited","false","Information Technology","Information Technology","IT - Software","Computers - Software & Consulting","526.45","524.45","242580.46","130993.45","NIFTY IT","16FEB2024"
"9","A2ZINFRA","A2Z Infra Engineering Limited","false","Industrials","Construction","Construction","Civil Construction","0","0","22543.34","0","NIFTY 500","16FEB2024"
"10","AAATECH","AAA Technologies Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","92.6","92.49","11877.62","3325.73","","16FEB2024"
"11","AAKASH","Aakash Exploration Services Limited","false","Energy","Oil Gas & Consumable Fuels","Oil","Offshore Support Solution Drilling","11.45","0","11593.13","0","","16FEB2024"
"12","AAREYDRUGS","Aarey Drugs & Pharmaceuticals Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","50","50.29","12692.34","6346.17","","16FEB2024"
"13","AARON","Aaron Industries Limited","false","Industrials","Capital Goods","Industrial Manufacturing","Industrial Products","250","247.44","26183.1","6022.11","","16FEB2024"
"14","AARTECH","Aartech Solonics Limited","false","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","147.8","145.62","15652.2","7356.54","NA","16FEB2024"
