Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,RELIANCE INDUSTRIES LTD,INE002A01018,RELIANCE,1639079.85,RELIANCE,1639099.1514,,,1639089.5007,Large Cap
2,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS,1276599.35,TCS,1276506.1994,,,1276552.7747,Large Cap
3,HDFC BANK LTD.,INE040A01034,HDFCBANK,1177969.85,HDFCBANK,1181073.7604,,,1179521.8052,Large Cap
4,ICICI BANK LTD.,INE090A01021,ICICIBANK,674471.74,ICICIBANK,674115.9615,,,674293.85075,Large Cap
5,"HINDUSTAN UNILEVER LTD.,",INE030A01027,HINDUNILVR,598327.39,HINDUNILVR,598271.8754,,,598299.6327,Large Cap
6,INFOSYS LTD,INE009A01021,INFY,594532.94,INFY,594539.3592,,,594536.1496,Large Cap
7,ITC LTD,INE154A01025,ITC,561143.83,ITC,560512.4949,,,560828.16245,Large Cap
8,BHARTI AIRTEL  LTD.,INE397D01024,BHARTIARTL,538739.120001021,BHARTIARTL,537675.9678,,,538207.543900511,Large Cap
9,"STATE BANK OF INDIA,",INE062A01020,SBIN,525974.16,SBIN,525988.9179,,,525981.53895,Large Cap
10,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE,453184.93,BAJFINANCE,451010.5713,,,452097.75065,Large Cap
11,LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,LICI,417572.78,LICI,417606.443,,,417589.6115,Large Cap
12,LARSEN & TOUBRO LIMITED,INE018A01030,LT,409949.95,LT,409847.1602,,,409898.5551,Large Cap
13,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK,357618.58,KOTAKBANK,357573.5961,,,357596.08805,Large Cap
14,HCL TECHNOLOGIES LTD,INE860A01027,HCLTECH,339419.65,HCLTECH,339466.7011,,,339443.17555,Large Cap
15,AXIS BANK LTD.,INE238A01034,AXISBANK,310591.59,AXISBANK,310502.4941,,,310547.04205,Large Cap
16,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT,310167.71,ASIANPAINT,310204.1012,,,310185.9056,Large Cap
17,MARUTI SUZUKI INDIA  LTD.,INE585B01010,MARUTI,307423.59,MARUTI,307144.3727,,,307283.98135,Large Cap
18,TITAN COMPANY LIMITED,INE280A01028,TITAN,287183.61,TITAN,287201.9014,,,287192.7557,Large Cap
19,ADANI ENTERPRISES LTD.,INE423A01024,ADANIENT,282695,ADANIENT,282722.3466,,,282708.6733,Large Cap
20,SUN PHARMACEUTICAL INDUSTRIES LTD.,INE044A01036,SUNPHARMA,275665.51,SUNPHARMA,275711.3546,,,275688.4323,Large Cap
21,BAJAJ FINSERV LIMITED,INE918I01026,BAJAJFINSV,253718.8,BAJAJFINSV,253620.0978,,,253669.4489,Large Cap
22,ULTRATECH CEMENT LTD,INE481G01011,ULTRACEMCO,248381.72,ULTRACEMCO,248403.0668,,,248392.3934,Large Cap
23,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART,245946.53,DMART,245958.5686,,,245952.5493,Large Cap
24,TATA MOTORS LTD.,INE155A01022,TATAMOTORS,236478.54,TATAMOTORS,236488.3736,,,236483.4568,Large Cap
25,OIL AND NATURAL GAS CORPORATION LTD,INE213A01029,ONGC,231895.13,ONGC,231937.2307,,,231916.18035,Large Cap
26,NTPC LIMITED,INE733E01010,NTPC,230688.77,NTPC,230702.8461,,,230695.80805,Large Cap
27,NESTLE INDIA LTD.,INE239A01016,NESTLEIND,224974.24,NESTLEIND,224992.0915,,,224983.16575,Large Cap
28,"WIPRO  LTD.,",INE075A01022,WIPRO,216508.09,WIPRO,220061.4704,,,218284.7802,Large Cap
29,MAHINDRA & MAHINDRA LTD.,INE101A01026,M&M,194696.6,M&M,194702.6686,,,194699.6343,Large Cap
30,JSW STEEL LIMITED,INE019A01038,JSWSTEEL,193378.68,JSWSTEEL,193841.2082,,,193609.9441,Large Cap
31,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,186894.13,POWERGRID,186897.1338,,,186895.6319,Large Cap
32,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,ADANIPORTS,179504.41,ADANIPORTS,179516.8663,,,179510.63815,Large Cap
33,COAL INDIA LIMITED,INE522F01014,COALINDIA,177189.12,COALINDIA,177202.0466,,,177195.5833,Large Cap
34,ADANI GREEN ENERGY LIMITED,INE364U01010,ADANIGREEN,166913.27,ADANIGREEN,166936.9034,,,166925.0867,Large Cap
35,LTIMINDTREE LIMITED,INE214T01019,LTIM,157656.05,LTIM,157668.8529,,,157662.45145,Large Cap
36,TATA STEEL LIMITED,INE081A01020,TATASTEEL,151509.45,TATASTEEL,151616.0036,,,151562.7268,Large Cap
37,BAJAJ AUTO LIMITED,INE917I01010,BAJAJ-AUTO,148409.26,BAJAJ-AUTO,148440.5025,,,148424.88125,Large Cap
38,JIO FINANCIAL SERVICES LIMITED,INE758E01017,JIOFIN,145794.81,JIOFIN,147087.9508,,,146441.3804,Large Cap
39,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC,139817.11,IOC,139836.7019,,,139826.90595,Large Cap
40,HINDUSTAN AERONAUTICS LIMITED,INE066F01020,HAL,139514.53,HAL,139522.8068,,,139518.6684,Large Cap
41,ADANI POWER LIMITED,INE814H01011,ADANIPOWER,139435.96,ADANIPOWER,139478.8873,,,139457.42365,Large Cap
42,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,138968.71,HDFCLIFE,138981.0109,,,138974.86045,Large Cap
43,DLF LIMITED,INE271C01023,DLF,138165.41,DLF,138170.0891,,,138167.74955,Large Cap
44,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE,134324.15,SBILIFE,134329.061,,,134326.6055,Large Cap
45,"HINDUSTAN ZINC LTD.,",INE267A01025,HINDZINC,132522.87,HINDZINC,132515.8856,,,132519.3778,Large Cap
46,"SIEMENS LTD.,",INE003A01024,SIEMENS,131712.25,SIEMENS,131740.0542,,,131726.1521,Large Cap
47,PIDILITE INDUSTRIES LTD.,INE318A01026,PIDILITIND,128544.94,PIDILITIND,128525.5869,,,128535.26345,Large Cap
48,"GRASIM INDUSTRIES LTD.,",INE047A01021,GRASIM,125571,GRASIM,125612.3691,,,125591.68455,Large Cap
49,VARUN BEVERAGES LIMITED,INE200M01021,VBL,122891.52,VBL,122914.6351,,,122903.07755,Large Cap
50,TECH MAHINDRA LIMITED,INE669C01036,TECHM,117675.65,TECHM,117650.5465,,,117663.09825,Large Cap
51,"BRITANNIA INDUSTRIES LTD.,",INE216A01030,BRITANNIA,113973.42,BRITANNIA,113992.3585,,,113982.88925,Large Cap
52,INDUSIND BANK LTD.,INE095A01012,INDUSINDBK,112390.81,INDUSINDBK,112344.2475,,,112367.52875,Large Cap
53,HINDALCO INDUSTRIES LTD.,INE038A01020,HINDALCO,108095.95,HINDALCO,108111.2736,,,108103.6118,Large Cap
